Scholarship Name,Description,Scholarship Type,Amount,Opening Date,Deadline,Status,Degree Level,URL
 Unified Scholarships for Undergraduate & Graduate,"These scholarships broadly apply across programs—from BS/BBA through MS/MPhil/PhD.
50% waiver on admission fee + 20% waiver on tuition for SUIT alumni entering any program.
15% tuition waiver for Armed Forces personnel, government-school/college teachers, and their children.
20% tuition waiver for female students and kinship-based cases (staff/faculty families).
50% tuition waiver for children of Armed Forces Shuhada (martyrs).
10% tuition waiver for domicile holders from former FATA regions.
Free education for disabled students and children of industrial workers under the Workers Welfare Fund.",need,0.0,2025-06-17,2025-09-15,Expired,Bachelors,https://scholarbee.pk/scholarship-details/685ceac325ce9bfa1367c909
Qurtuba University Need-Based Scholarship, Provides financial support to students with demonstrated financial hardship.,need,0.0,2025-06-02,2025-07-31,Expired,Bachelors,https://scholarbee.pk/scholarship-details/6834cb5e5652e4394879519a
Qurtuba University Merit-Based Scholarship,Awarded to students with outstanding academic performance in entry exams or prior academic records. This scholarship is intended to reward excellence and support talented individuals at Qurtuba University's educational journey.,merit,0.0,2025-06-02,2025-07-31,Expired,Bachelors,https://scholarbee.pk/scholarship-details/6834c6bc5652e439487950fa
HEC Need-based Scholarships ,"Gomal University is listed as one of the participating universities for HEC's Need-Based Scholarships. 
",need,250000.0,2025-12-13,2026-01-02,Expired,Bachelors,https://scholarbee.pk/scholarship-details/6834a54f5652e43948794b91
Foundation University College of Nursing (FUCN) Scholarship,This scholarship supports academically talented and financially deserving students enrolled at Foundation University College of Nursing to pursue nursing education with reduced financial burden.,merit,0.0,2025-07-01,2025-09-01,Expired,Bachelors,https://scholarbee.pk/scholarship-details/682e45e15652e4394878bf81
HEC Need-Based Scholarship,Financial assistance provided by the Higher Education Commission for students facing economic hardship.,need,0.0,2025-08-04,2025-09-01,Expired,Bachelors,https://scholarbee.pk/scholarship-details/682e37595652e4394878b547
UAF Merit Scholarship,Awarded to academically outstanding students at UAF based on merit to encourage academic excellence and reduce financial burden.,merit,0.0,2025-09-01,2025-10-01,Expired,Bachelors,https://scholarbee.pk/scholarship-details/682e35825652e4394878b4a7
Khyber Pakhtunkhwa Education Foundation (KPEF) Scholarship ,The Khyber Pakhtunkhwa Education Foundation (KPEF) offers a range of scholarship programs aimed at supporting students from Khyber Pakhtunkhwa (KPK) in pursuing higher education. These scholarships cater to various academic levels and are designed to assist students based on merit and financial need.,merit,0.0,2025-09-01,2025-10-31,Expired,Bachelors,https://scholarbee.pk/scholarship-details/682daa425652e43948788a7f
Merit Based Scholarship,Superior University Lahore offers merit-based scholarships to support academically outstanding students pursuing MS (Master of Science) programs. These scholarships are designed to recognize and reward students' academic achievements.,merit,0.0,2025-07-01,2025-08-19,Expired,Bachelors,https://scholarbee.pk/scholarship-details/682b0d195652e43948784f26
MUL’s Semester CGPA-Based Scholarship,This scholarship is based on the student’s performance at MUL. It is awarded for the coming semester only and is further extendable to one or more semesters as long as the student maintains the required CGPA.,merit,0.0,2025-07-01,2025-08-15,Expired,Bachelors,https://scholarbee.pk/scholarship-details/6826dbb75652e4394877eefb
Need-Based Scholarship,Financial assistance provided to deserving students facing economic hardship to help them pursue higher education at DHA Suffa University. This scholarship aims to promote education accessibility and support talented students who cannot afford tuition fees.,need,0.0,2025-06-02,2025-07-31,Expired,Bachelors,https://scholarbee.pk/scholarship-details/6826358e5652e4394877d3e1
Karwan-e-Ilm Foundation (KIF) Scholarship,Provides financial assistance to academically talented but financially disadvantaged students across Pakistan to pursue higher education.,merit,0.0,2025-09-01,2025-10-01,Expired,Bachelors,https://scholarbee.pk/scholarship-details/6824e15b5652e43948777d71
The Punjab Educational Endowment Fund (PEEF),"The Punjab Educational Endowment Fund (PEEF) under guidance of the Board of Directors is providing opportunities to the talented but needy students to fulfill their dreams and aspirations and at the same time to become partner in the development and welfare of Pakistan. The PEEF, since its inception in 2009 has awarded more than 374,000 scholarships to students of Punjab and other provinces which are currently pursuing education through public and private sector institutions. Needy students, admitted in IST, can also apply for this scholarship.",need,0.0,2025-05-01,2025-06-30,Expired,Bachelors,https://scholarbee.pk/scholarship-details/6824d5f25652e43948777a00
Need Based Scholarship,PIEAS need-based scholarship program/ Qarz-e-Hasna program aims to assist the students from under-privileged or weak financial background in continuing and completing their studies at PIEAS. A 25% amount of fee collected from the students are reserved for this purpose. This program includes a financial support in the form of tuition fee only. The amount of tuition waiver ranges from 25% to 100% based on the criterion developed by the scrutiny committee.,merit,0.0,2025-04-01,2025-05-14,Expired,Bachelors,https://scholarbee.pk/scholarship-details/6824a9d85652e439487766fa
Balochistan Education Endowment Fund ,"The Balochistan Education Endowment Fund, (BEEF) is a revolutionary initiative of the Government of Balochistan which plays a vital role in strengthening the quality education and all scholarships are being given to the poorest but brilliant male and female students purely on merit basis",need,0.0,2025-04-01,2025-05-15,Expired,Bachelors,https://scholarbee.pk/scholarship-details/6820e6a15652e4394876c6b4
HEC Need-Based Scholarship, Provided by the Higher Education Commission to students who demonstrate financial hardship but are academically eligible.,need,0.0,2025-07-01,2025-08-04,Expired,Bachelors,https://scholarbee.pk/scholarship-details/681fc3f35652e4394876a52b
Rehmatul-lil-Alameen Scholarship,A need-based and merit-based initiative by the Government of Punjab to support academically deserving and financially challenged students across Punjab’s public universities.,merit,0.0,2025-08-01,2025-09-01,Expired,Bachelors,https://scholarbee.pk/scholarship-details/681fc2bf5652e4394876a461
PUNJAB EDUCATIONAL ENDOWMENT FUND (PEEF) SCHOLARSHIPS ,The University also helps students apply for other external scholarships including Punjab Educational Endowment Fund (PEEF). The PEEF in partnership with FCCU offers a certain number of full fee scholarships along with a stipend to talented and deserving enrolled students fulfilling the prescribed criteria.,need,0.0,2025-09-01,2025-10-24,Expired,Bachelors,https://scholarbee.pk/scholarship-details/681c46a35652e43948763e32
Kinship Fee Concession,A kinship Fee Concession is awarded to students having more than one sibling studying at SS-CASE-IT. The fee Concession varies between 25% – 35% of the semester fee of one sibling depending on certain conditions.,merit,0.0,2025-03-03,2025-04-30,Expired,Bachelors,https://scholarbee.pk/scholarship-details/681b72325652e43948761ad1
Financial Support Scheme (SSF-101)," Allama Iqbal Open University (AIOU) offers several scholarship and financial aid schemes for MS students, as detailed on their official website. These programs are administered by the Directorate of Students Advisory & Counselling Services (DSACS) and are part of the AIOU Student Support Fund (ASSF).",need,0.0,2025-12-01,2026-01-05,Expired,Bachelors,https://scholarbee.pk/scholarship-details/681b26645652e4394875ffa5
Mawakhat Assistantship (Need cum based assistance),Assistantships are available on a need cum merit base for students who have passed at least one university exam of Riphah International University.,need,0.0,2025-03-03,2025-04-30,Expired,Bachelors,https://scholarbee.pk/scholarship-details/681a45365652e4394875d607
Amma’al Assistantship,Assistantships under this scheme are available to students getting admission in any regular undergraduate program of Management Sciences and Computer Sciences.,merit,0.0,2025-04-01,2025-05-20,Expired,Bachelors,https://scholarbee.pk/scholarship-details/681a43375652e4394875d583
Usra Assistantship (Kinship Concession),Provides financial assistance for siblings enrolled in the same program.,merit,0.0,2025-08-01,2025-09-08,Expired,Bachelors,https://scholarbee.pk/scholarship-details/681924da5652e43948759ecd
Musabiqat Scholarship,Awarded to the top three students in exams.,merit,0.0,2025-04-04,2025-08-04,Expired,Bachelors,https://scholarbee.pk/scholarship-details/681924215652e43948759e2d
Frontier Education Foundation,"The Frontier Education Foundation (FEF) is a KP government initiative that provides scholarships to deserving students from Khyber Pakhtunkhwa, especially for higher education.

",need,0.0,2025-09-01,2025-10-13,Expired,Bachelors,https://scholarbee.pk/scholarship-details/68190d955652e43948759190
Khurram Murad Scholarship,"These scholarships honor a great thinker whose writings and speeches have inspired thousands of young men and women all over the world.

50% wavier in tuition fees for two students in a semester, with foreign nationality who fulfill the admission requirements",merit,0.0,2025-06-02,2025-07-15,Expired,Bachelors,https://scholarbee.pk/scholarship-details/681837995652e43948755c86
Justice A R Cornelius Scholarship,"These scholarships have been established to pay tribute to a former Chief Justice of Pakistan.
They are granted to bright Pakistani nationals belonging to minority communities.
30% waiver in tuition fee for Pakistani nationals belonging to minorities with a minimum of 60% marks or equivalent in intermediate or graduation.
",merit,0.0,2025-06-06,2025-07-16,Expired,Bachelors,https://scholarbee.pk/scholarship-details/68181a0d5652e43948755a9f
AKU-EB Examination Board Bridge Scholarship,"The AKU-EB recognizes the vital importance of the bridge between secondary and higher education. Thanks to the generous assistance of the Fancy Foundation, AKU-EB offers a competitive scholarship that contributes towards expenses incurred by students during their two years as HSSC candidates. The scholarship is awarded on the basis of merit and financial need and funds two years of education for students that aim to complete their HSSC from an AKU-EB affiliated school or college. It is offered to current SSC Part II students or SSC graduates of AKU-EB affiliated schools & colleges based in Karachi. ",merit,0.0,2025-02-03,2025-03-31,Expired,Bachelors,https://scholarbee.pk/scholarship-details/68141ade5652e4394874da38
AKU Undergraduate Scholarship Programme (AKUSP),"Managed by the Aga Khan Education Board for Pakistan (AKEBP), this scholarship is limited to the Ismaili Community. Eligible students who have obtained confirmed admission between September 15, 2023, to March 15, 2024, in a degree program listed in the AKUSP Booklet can apply. Applicants must submit an application request form along with SSC/O'level and HSC/A'level mark sheets.",need,0.0,2025-02-03,2025-03-31,Expired,Bachelors,https://scholarbee.pk/scholarship-details/681419a75652e4394874d9d2
Scholarships & Financial Aid,"This is for Graduate Programs.
Scholarships and financial aid are a vital tool for helping students in affording a world-class education, setting them on the path of progress. The University of Lahore has a dedicated and caring team financial aid team for bringing affordable education to the doorstep of every deserving student. From need-based programs to merit scholarships for outstanding individuals, as well as grants for international students, there is a wide range of options available for everyone at the University of Lahore. Along with our commitment to economic diversity, generous financial aid programs, and a resourceful financial aid office, we ensure that there are no obstacles in your academic journey at UoL.
All applicants have to deposit at least half of the tuition fee and registration fee (new admission) before applying for financial assistance. The Office of Student Affairs and the Financial Assistance section of the accounts department will be the concerned authorities for aid, with forms for applications available at the latter office. The university has the right to cancel financial aid in the following cases:
Scored SGPA is below 3
Less than 70% marks in case of the annual degree program
Semester freeze
Degree transfer
Semester withdrawn",merit,0.0,2025-04-01,2025-05-01,Expired,Bachelors,https://scholarbee.pk/scholarship-details/681360685652e4394874d1b6
 Honhaar Scholarship Program for graduate students.,Financial support per semester will be provided to all siblings enrolled in graduate Programs of CUI system on maintaining good academic Performance.,merit,0.0,2025-04-01,2025-05-01,Expired,Bachelors,https://scholarbee.pk/scholarship-details/681333305652e4394874a4e6
Professional Education Foundation (PEF) Scholarship,"The PEF scholarship offers financial assistance to students pursuing professional health sciences degrees, including MBBS, BDS, Pharm D, and DPT.",need,0.0,2025-07-01,2025-08-11,Expired,Bachelors,https://scholarbee.pk/scholarship-details/681275de5652e4394874a3b2
Sindh Education Endowment Fund (SEEF) Scholarship,This scholarship is designed for students from Sindh who have financial needs. It supports their educational expenses.,need,0.0,2025-07-01,2025-08-04,Expired,Bachelors,https://scholarbee.pk/scholarship-details/681274eb5652e4394874a314
Zakat & Ushr Need Cum Merit-Based Scholarship,This scholarship is a combination of merit and financial need for students enrolled at DUHS. It is funded by Zakat and Ushr collections.,merit,0.0,2025-08-04,2025-09-01,Expired,Bachelors,https://scholarbee.pk/scholarship-details/681273e35652e4394874a27a
Zahid Bashir Patient Aid Foundation Scholarship,"This scholarship is for students of Dow Medical College, Dow College of Pharmacy, and Dr. Ishrat Ul Ebad Khan Institute of Oral Health Sciences. It supports students in need by providing financial assistance.",merit,0.0,2025-08-04,2025-09-01,Expired,Bachelors,https://scholarbee.pk/scholarship-details/681272c75652e4394874a1b6
NICT Scholarships ,"The PM's National ICT Scholarship Program, now run by Ignite, is a flagship initiative aimed at promoting Information and Communication Technology (ICT) education and research in Pakistan. It provides financial assistance and opportunities for Pakistani students to pursue higher education and research in the field of ICT. The program has been instrumental in supporting numerous students, including those who have gone on to achieve academic success and pursue further studies abroad. ",merit,0.0,2025-05-01,2025-06-29,Expired,Bachelors,https://scholarbee.pk/scholarship-details/68111cd25652e439487453f9
HEC Need-based Scholarships ,"The HEC Need-Based Scholarship program aims to support academically promising yet financially constrained students enrolled in master’s degree programs. This scholarship helps cover tuition fees and provides a monthly stipend during the course of study. The goal is to ensure equal access to higher education for students from low-income households.
The Higher Education Commission (HEC) Need-Based Scholarship program provides financial assistance to undergraduate students in public sector Pakistani universities and degree-awarding institutions, including UET, for those facing financial constraints. The scholarship covers university fees and a monthly stipend, and is intended for students with demonstrated financial need. ",need,0.0,2025-09-01,2025-10-09,Expired,Bachelors,https://scholarbee.pk/scholarship-details/681103dc5652e43948744d2a
Pakistan Educational Endowment Fund (PEEF),"It’s a government scholarship initiated by the Government of Punjab to help talented but financially needy students pursue their education at matric, intermediate, bachelor's, master's levels — across Punjab and some other provinces (under special quotas).",need,0.0,2025-04-07,2025-05-15,Expired,Bachelors,https://scholarbee.pk/scholarship-details/6810d0305652e43948744294
Punjab Education Endowment Fund (PEEF) Master Level Scholarship,"It’s a government scholarship initiated by the Government of Punjab to help talented but financially needy students pursue their education at matric, intermediate, bachelor's, master's levels — across Punjab and some other provinces (under special quotas).",need,0.0,2025-04-07,2025-05-13,Expired,Bachelors,https://scholarbee.pk/scholarship-details/680fc3ee5652e43948741678
Diya Pakistan,For Undergraduate and Graduate Students or as modified by the Donor Agency,merit,0.0,2025-03-03,2025-04-15,Expired,Bachelors,https://scholarbee.pk/scholarship-details/680fc2645652e439487415e7
CUI Endowment Fund,"The CUI Endowment Fund was established by COMSATS University Islamabad (CUI) to support deserving students financially — especially those from low-income backgrounds who are academically talented but economically challenged.

It provides scholarships and financial assistance to undergraduate and postgraduate students across all CUI campuses, including Lahore.",need,0.0,2025-09-01,2025-10-12,Expired,Bachelors,https://scholarbee.pk/scholarship-details/680fc0bc5652e439487415b8
Kinship/Sibling concession,It is a need based scholarship given to siblings. Financial support per semester will be provided to all sibilings enrolled in CUI system on maintaining good academic Performance.,need,0.0,2025-09-01,2025-10-12,Expired,Bachelors,https://scholarbee.pk/scholarship-details/680fbfd05652e439487414ea
PEEF Scholarship - KCW,"The PEEF (Punjab Educational Endowment Fund) scholarship program aims to provide financial assistance to needy and talented students in Punjab and other regions of Pakistan, including AJK, FATA, Gilgit Baltistan, and Islamabad. The PEEF offers scholarships for various educational levels, including Intermediate, Graduation, Master's, and Ph.D. ",need,0.0,2025-02-03,2025-03-03,Expired,Bachelors,https://scholarbee.pk/scholarship-details/6807ddc25652e43948732d46
HEC Ehsaas Scholarship Program - KFUEIT ,"The Ehsaas Undergraduate Scholarship Program, offered by the Higher Education Commission (HEC) in Pakistan, provides financial assistance to needy and deserving students pursuing undergraduate degrees at public sector universities. The scholarship covers tuition fees and provides a stipend for the duration of the degree. The program aims to empower talented but financially disadvantaged students and enable them to access quality education. 
",need,0.0,2025-11-03,2025-12-30,Expired,Bachelors,https://scholarbee.pk/scholarship-details/680697705652e4394872d601
Pakistan Bait ul Mal Scholarships - KFUEIT ,"The Pakistan Bait-ul-Mal (PBM) scholarship program provides educational assistance to deserving and brilliant poor students in government educational institutions, focusing on fulfilling immediate needs and promoting economic empowerment through rehabilitation. ",need,0.0,2025-01-06,2025-02-15,Expired,Bachelors,https://scholarbee.pk/scholarship-details/680695a75652e4394872d4b8
PEEF - KFUEIT ,"PEEF (Punjab Educational Endowment Fund) offers various scholarships, including those for Master's level studies and special quota programs. ",merit,0.0,2025-06-03,2025-04-13,Expired,Bachelors,https://scholarbee.pk/scholarship-details/680693f85652e4394872d19a
KFUEIT Need Based Scholarship,"KFUEIT offers various scholarships to support students, including need-based scholarships, merit-based scholarships, and external scholarships. These scholarships are designed to help students who are facing financial constraints or who demonstrate academic excellence. ",need,0.0,2025-03-03,2025-04-11,Expired,Bachelors,https://scholarbee.pk/scholarship-details/680684145652e4394872c229
Major Merit Scholarship, Awarded to students based on exceptional academic performance.,merit,0.0,2025-06-09,2025-07-15,Expired,Bachelors,https://scholarbee.pk/scholarship-details/6803cbea5652e43948728a3a
Merit Based Scholarship,"Terms and Conditions
The following conditions shall be applicable:

Two Scholarships cannot be availed at a time. If the student is eligible for more than one scholarship, then he/she has the right to opt any one scholarship.
All those students who want to avail any of the above scholarships are required to apply for anyone on a prescribed application form available below.
Subsequent continuation of scholarship in every semester is based on:
Maintaining of minimum CGPA requirement of the degree program
On taking off full course load as specified for each program.
Scholarships are NOT awarded:
During the Summer semester.
If the duration of studies exceeds normal specified duration for each program.
If a student takes any regular semester break.
If the total credit hours registered (after Add/Drop period) are less than full course load.
No F/W/I and Repeat course in the transcript in last registered semester.
Student convicted by the Discipline Committee will be ineligible for any Scholarship/Award.
Incomplete application will not be accepted. University has rights to cancel any application without any notice.
The University through its discretionary power has the authority to change the definition or percentage of any Scholarship, with the approval of Academic Council, and it shall be binding on all awardees.",merit,0.0,2025-01-01,2025-01-19,Expired,Bachelors,https://scholarbee.pk/scholarship-details/680398475652e4394872804f
Merit Based Scholarship,"The Merit-Based Scholarship is awarded to students based on their academic achievements. While specific eligibility criteria and benefits are not detailed in the available information, such scholarships typically consider factors like high percentage marks in previous examinations or top positions in merit lists. The exact percentage of fee concession or other benefits may vary and are determined by the university's scholarship committee
Secure Admission: Apply and gain admission to your desired program at LGU.​
Scholarship Application: Upon admission, apply for the scholarship through the LGU Admissions Portal.​
Documentation: Submit all required academic transcripts and any other documents that support your eligibility for the scholarship.​
Review Process: The university's scholarship committee will review applications and determine eligibility based on academic performance and other criteria.​
",merit,0.0,2025-10-01,2025-11-15,Expired,Bachelors,https://scholarbee.pk/scholarship-details/680222135652e43948725157
MNSUA Need-Based Scholarship / Interest-Free Loan, Internal university program for students facing financial hardship,need,0.0,2025-09-01,2025-09-17,Expired,Bachelors,https://scholarbee.pk/scholarship-details/6801ff0c5652e439487245ae
PEEF Undergraduate Scholarship,Merit and need-based scholarship by Punjab Government,merit,0.0,2025-07-01,2025-12-30,Expired,Bachelors,https://scholarbee.pk/scholarship-details/6801fe5f5652e4394872452c
 Ehsaas Undergraduate Scholarship,A government-funded initiative to support students from low-income families.,need,0.0,2025-08-04,2025-10-17,Expired,Bachelors,https://scholarbee.pk/scholarship-details/6801fdba5652e43948724492
Need based Scholarship,"Ilma University's vision and mission both highlight the drive to make education accessible to all. For this case, Ilma University gives out a lot of scholarships to the deserving students purely based on merit. Scholarships ranging from 10% to 100% are awarded. Students must fulfil the pre-requisite criteria for the award of scholarships and submit the supporting documents to support their claim.
Ilma University vows to provide an easily accessible educational path through scholarships and grants to provide all students a fair chance to attain university level qualification as an investment and security for their future.",need,0.0,2025-08-04,2025-09-02,Expired,Bachelors,https://scholarbee.pk/scholarship-details/67fcdd6b5652e4394871958a
MORA Scholarship	,Ministry of Religious Affairs offers financial assistance to deserving students with strong academic standing and ethical commitment.,need,0.0,2025-11-03,2025-12-31,Expired,Bachelors,https://scholarbee.pk/scholarship-details/67fb89395652e43948717088
Flood-Affected Student Fee Waiver,Emergency relief support for students affected by natural disasters (specifically flood) to prevent academic disruption.,need,0.0,2025-08-04,2025-09-27,Expired,Bachelors,https://scholarbee.pk/scholarship-details/67fb883b5652e43948717041
Momina Cheema Foundation Scholarship,A philanthropic scholarship program supporting academically bright and financially needy students in science and healthcare fields.,need,0.0,2025-09-01,2025-11-13,Expired,Bachelors,https://scholarbee.pk/scholarship-details/67fb87025652e43948716f97
EUSP Scholarship (HEC),"Offered under HEC’s Undergraduate Education Support Program, it supports socio-economically disadvantaged students in continuing higher education.",need,0.0,2025-08-04,2025-09-29,Expired,Bachelors,https://scholarbee.pk/scholarship-details/67fb84ee5652e43948716f03
PEEF Scholarship,A government-funded program supporting talented but underprivileged students for intermediate and undergraduate education.,merit,0.0,2025-08-04,2025-10-02,Expired,Bachelors,https://scholarbee.pk/scholarship-details/67fb842e5652e43948716e7b
Need-Based Scholarship (KUM),Provides financial assistance to deserving students facing economic hardship to ensure equal access to higher education.,need,0.0,2025-08-04,2025-09-25,Expired,Bachelors,https://scholarbee.pk/scholarship-details/67fb83725652e43948716df3
Merit-Based Scholarship (KUM),Awarded to high-achieving students based on semester CGPA performance to promote academic excellence at Kohsar University Murree.,merit,0.0,2025-08-04,2025-09-18,Expired,Bachelors,https://scholarbee.pk/scholarship-details/67fb80725652e43948716d4d
Pakistan Education Endowment Fund (PEEF) Scholarship ,"A scholarship opportunity, funded by the Punjab Education Endowment Fund (peef.org.pk), for students in the Tourism and Hospitality Management programs. This scholarship will be awarded to the top 10 selected applicants.",merit,0.0,2025-09-01,2025-11-14,Expired,Bachelors,https://scholarbee.pk/scholarship-details/67f9155a5652e439487152e8
Habib Yohsin Scholarship,"To ensure equal opportunities for all prospective students irrespective of their religious, ethnic, racial, gender or socio-economic background, Habib University offers unmatched undergraduate scholarships to intermediate students and other boards too, to support them, fully or partially, so that they can pursue their four-year degree program at the university.
Based on the candidate’s admission score, they may receive one of our renewable scholarships in recognition of their strong academic achievements. Entrance scholarships are granted between 20% & 100%, depending on your merit score.",merit,0.0,2025-03-03,2025-04-08,Expired,Bachelors,https://scholarbee.pk/scholarship-details/67f8f4385652e4394871423a
Need based Scholarship,"Step into a future brimming with promise and potential with the BNU Scholarships. We believe in empowering the dreams of bright minds, offering new avenues of opportunity to prospective students. With a legacy spanning two decades, we've illuminated the paths of countless individuals with over 1.1 Billion Rupees in scholarships. At BNU, we're not just investing in education; we're investing in the architects of tomorrow, nurturing talent, and fostering innovation. ",need,0.0,2025-07-01,2025-08-18,Expired,Bachelors,https://scholarbee.pk/scholarship-details/67f8f03b5652e43948713d7d
Merit based Scholarship,"Step into a future brimming with promise and potential with the BNU Scholarships. We believe in empowering the dreams of bright minds, offering new avenues of opportunity to prospective students. With a legacy spanning two decades, we've illuminated the paths of countless individuals with over 1.1 Billion Rupees in scholarships. At BNU, we're not just investing in education; we're investing in the architects of tomorrow, nurturing talent, and fostering innovation. ",merit,0.0,2025-07-01,2025-08-18,Expired,Bachelors,https://scholarbee.pk/scholarship-details/67f8efba5652e43948713c57
Sindh Educational Endowment Fund (SEEF),"The Government of Sindh established the Sindh Educational Endowment Fund (SEEF) in 2002-03 to offer financial assistance to students from low-income backgrounds pursuing higher education. SEEF primarily provides scholarships and aims to support students in completing their graduate and postgraduate studies, particularly in fields like Information Technology, Engineering, Medicine, and Business Administration. ",need,0.0,2025-07-01,2025-08-29,Expired,Bachelors,https://scholarbee.pk/scholarship-details/67f8e1a45652e43948712909
HEC Need-Based Scholarship,This program provides financial assistance to students who demonstrate financial need and have secured admission to KEMU.,need,0.0,2025-11-03,2025-12-08,Expired,Bachelors,https://scholarbee.pk/scholarship-details/67f833d3c01759ffe6a73bb8
Merit based Scholarship,"Up to 100% Fee Waiver (in tuition fee) for top three position holders of the National Intermediate Boards and Universities in all Programmes offered by the Indus University.

Up to 50% Fee Waiver (in tuition fee) for 80% (in Intermediate Examination and above) in National Intermediate Boards and Universities in all Programmes offered by the Indus University.

Up to 25% Fee Waiver (in tuition fee) for 70% (in Intermediate Examination and above) in National Intermediate Boards and Universities in all Programmes offered by the Indus University.",merit,0.0,2025-08-25,2025-11-28,Expired,Bachelors,https://scholarbee.pk/scholarship-details/67f7ca29c01759ffe6a724af
HEC Need-Based Scholarship,This scholarship is designed to assist financially needy students who are unable to bear the cost of their education.,need,0.0,2025-06-02,2025-07-14,Expired,Bachelors,https://scholarbee.pk/scholarship-details/67f6e0c3c01759ffe6a6fa24
HEC Need Base Scholarships,"Scholarships recognize academic excellence and may also take into account community involvement, leadership, creativity, and other qualities.

Take the time to explore the many scholarships and awards available – and apply!

In addition to University of Chitral scholarships, you should also consider the many awards offered through the Higher Education Commission (HEC) Pakistan and other various external companies & agencies. If you have questions regarding these awards, you should direct them to the awarding organization. These awards are updated frequently, so check back regularly for up-to-date information.

Admission Scholarships are for those individuals applying to the University for undergraduate studies.

In-course Scholarships are available to students currently registered at the University of Chitral. Additional information on In-course Scholarships is available through the Registrar's Office.",need,0.0,2025-03-03,2025-04-09,Expired,Bachelors,https://scholarbee.pk/scholarship-details/67f6422fc01759ffe6a6d09c
Need based Scholarship,"PAF-IAST Need-based scholarships are focused to enhance the educational capabilities of the students by off-loading their financial burden and reaching out to financially challenged / deserving students. Confidentiality is to be observed to preserve the esteem of the students.
Coverage:
Full Scholarship (100% Tuition Fee Waiver)
Partial Scholarship (50% Tuition Fee Waiver)",need,0.0,2025-06-02,2025-07-15,Expired,Bachelors,https://scholarbee.pk/scholarship-details/67f62ee1c01759ffe6a6b91e
Merit based Scholarship,​Pak-Austria Fachhochschule Institute of Applied Sciences and Technology (PAF-IAST) offers merit-based scholarships to recognize and support students who demonstrate outstanding academic achievements. ,merit,0.0,2025-06-02,2025-07-15,Expired,Bachelors,https://scholarbee.pk/scholarship-details/67f62d9ec01759ffe6a6b80e
Need Base Scholarship,"The National College of Business Administration & Economics (NCBA&E) offers need-based scholarships to help financially disadvantaged students pursue higher education, and you can find more information about the program and application process on the NCBA&E website. 
Need-Based Scholarships: Financial assistance for students facing financial difficulties. 
Merit-Based Scholarships: Scholarships awarded based on academic performance. 
Up to 40% Scholarship: NCBA&E offers up to 40% scholarship opportunities for certain programs. ",need,0.0,2025-03-03,2025-04-09,Expired,Bachelors,https://scholarbee.pk/scholarship-details/67f62c80c01759ffe6a6b736
HEC Merit and Need-Based Scholarship,"This scholarship aims to provide financial support to students demonstrating both academic excellence and financial need, enabling them to pursue higher education without financial constraints.",merit,0.0,2025-11-03,2025-12-31,Expired,Bachelors,https://scholarbee.pk/scholarship-details/67f572ecc01759ffe6a69176
Merit-Based Scholarships,Awarded to students who demonstrate exceptional academic performance.,merit,0.0,2025-07-01,2025-08-11,Expired,Bachelors,https://scholarbee.pk/scholarship-details/67f57385c01759ffe6a692b2
Sister Fee Concession,"This scholarship offers a 50% tuition fee concession for one of two sisters enrolled at Shaheed Benazir Bhutto Women University (SBBWU). When both sisters are enrolled and not receiving other fee concessions or need-based scholarships, one sister is granted a 50% reduction on her tuition fee while the other pays full tuition.",merit,0.0,2025-09-01,2025-10-09,Expired,Bachelors,https://scholarbee.pk/scholarship-details/67f57071c01759ffe6a69022
Ihsan Trust Qarz-e-Hasna Scheme​,Provides interest-free loans to needy and deserving students to cover educational expenses.​,need,0.0,2025-11-03,2025-10-20,Expired,Bachelors,https://scholarbee.pk/scholarship-details/67f44096c01759ffe6a637e3
Nazir Ahmed Chaudary Memorial Scholarship,"ISP is offering, “NACM” partially funded (upto 50% in tuition fee) merit scholarships, worth Rs. 30 Million (approximately), for selected programs on the basis of test.",merit,0.0,2025-08-04,2025-09-21,Expired,Bachelors,https://scholarbee.pk/scholarship-details/67f42f2fc01759ffe6a631a8
Need Cum Merit Based Scholarship ,"Up to 100% tuition fee waiver shall be offered to the rest of candidates in each program as per university aggregate merit criteria, subject to need assessed by the Namal Scholarship Committee through the financial support process.
100% Admission fee and Admission Security waiver for candidates belonging to previously called EX.FATA (currently in KPK) and Baluchistan candidates.
50% Hostel fee waiver to Female candidates.
The Students qualifying their Intermediate/equivalent exams (in the current year) from Daanish Schools shall be eligible for 100% waiver of dues (admission, hostel and exam & lab fee), funded from Punjab Educational Endowment Fund (PEEF).
100% Tuition fee waiver for all candidates having 90 % and above marks in intermediate/equivalent exam.",need,0.0,2025-06-02,2025-07-31,Expired,Bachelors,https://scholarbee.pk/scholarship-details/67f3c9e5c01759ffe6a5ecbd
MUST Need-Based Scholarships,MUST Need-Based Scholarships are designed to support students from financially disadvantaged backgrounds who are enrolled in undergraduate programs at Mirpur University of Science and Technology. This program complements the HEC Need-Based Scholarships and targets students on the waiting list.,need,6000.0,2025-07-01,2025-08-11,Expired,Bachelors,https://scholarbee.pk/scholarship-details/67f3c890c01759ffe6a5ec6d
