Institute,City,Campus,Degree,Program,Duration,Eligibility Criteria,Test Requirement,Fee (PKR),Fee Type,Apply Deadline (2026),Program URL
National University of Modern Languages,Islamabad,Main Campus,BS,BS Business Analytics,2 Year,"Eligibility: Intermediate (12 Years) with Minimum 45% marks / A-Level with Minimum 50% marks. National University of Modern Languages H-9/4 Islamabad ,Pakistan Phone: +92-51-9265100 Email: info@numl.edu.pk Regional Campuses Lahore Campus Faisalabad Campus Multan Campus Hyderabad Campus Quetta Campus Peshawar Campus Karachi Campus Rawalpindi MirpurAJK Campus 2026 © National University of Modern Lan",NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/594
National University of Modern Languages,Islamabad,Main Campus,BS,BS Financial Technologies,2 Year,"Eligibility: Intermediate (12 Years) with Minimum 45% marks / A-Level with Minimum 50% marks. National University of Modern Languages H-9/4 Islamabad ,Pakistan Phone: +92-51-9265100 Email: info@numl.edu.pk Regional Campuses Lahore Campus Faisalabad Campus Multan Campus Hyderabad Campus Quetta Campus Peshawar Campus Karachi Campus Rawalpindi MirpurAJK Campus 2026 © National University of Modern Lan",NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/595
National University of Modern Languages,Islamabad,Main Campus,BS,BS Tourism And Hospitality Management,2 Year,"Eligibility: Intermediate (12 Years) with Minimum 45% marks / A-Level with Minimum 50% marks. National University of Modern Languages H-9/4 Islamabad ,Pakistan Phone: +92-51-9265100 Email: info@numl.edu.pk Regional Campuses Lahore Campus Faisalabad Campus Multan Campus Hyderabad Campus Quetta Campus Peshawar Campus Karachi Campus Rawalpindi MirpurAJK Campus 2026 © National University of Modern Lan",NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/596
National University of Modern Languages,Islamabad,Main Campus,BS,Associate Degree In Business Administration,2 Year,"Eligibility: Intermediate (12 Years) with Minimum 45% marks / A-Level with Minimum 50% marks. National University of Modern Languages H-9/4 Islamabad ,Pakistan Phone: +92-51-9265100 Email: info@numl.edu.pk Regional Campuses Lahore Campus Faisalabad Campus Multan Campus Hyderabad Campus Quetta Campus Peshawar Campus Karachi Campus Rawalpindi MirpurAJK Campus 2026 © National University of Modern Lan",NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/597
National University of Modern Languages,Islamabad,Main Campus,BS,BS Public Administration And Governance,,Eligibility: Intermediate with 45% marks OR A – Level with 50% marks OR Equivalent Courses: S.No Course Code Subject Credit Hours 1 PAG-501 Functional English (Basic English Skills) 3 2 PAG-502 Islamic Studies/ Ethics (for Non-Muslims) 2 3 PAG-503 Applications of Information and Communication Technologies (ICT) 3 4 PAG-504 Quantitative Reasoning –I 3 5 PAG-505 Introduction to International Relatio,NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/165
National University of Modern Languages,Islamabad,Main Campus,BS,BS Economics,,"Eligibility: FSc/ICS/I.Com/ FA with 45% marks / A-Level with 50% marks and preferably having studied any one of the subjects viz: Statistics, Mathematics, Physics, Economics, Computer Science OR Commerce. Courses: S.No Course Code Subject Credit Hours 1 ECEC-101 Principles of Microeconomics 03 2 ECEC-121 Mathematical Economic-I 03 3 ECCS-101 Introduction to Computer 03 4 ECHU-101 Functional Englis",NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/70
National University of Modern Languages,Islamabad,Main Campus,BS,BS Economics And Finance,,"Eligibility: FSc/ICS/I.Com/ FA with 45% marks / A-Level with 50% marks and preferably having studied any one of the subjects viz: Statistics, Mathematics, Physics, Economics, Computer Science OR Commerce. Courses: S.No Course Code Subject Credit Hours 1 ECEC-101 Principles of Microeconomics 03 2 ECEC-121 Mathematical Economics-I 03 3 ECCS-101 Introduction to Computer 03 4 ECHU-101 Functional Engli",NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/71
National University of Modern Languages,Islamabad,Main Campus,BS,BS Economics & Finance (Bridging),,Eligibility: BA/BSc with 45% marks. Relevancy of courses studied at graduation level is mandatory Courses: S.No Course Code Subject Credit Hours 1 ECHU-102 English 03 2 ECEC-121 Mathematics 03 3 ECCS-101 Computer 03 4 ECMG-261 Management Skills 03 5 ECEC-101 Principles of Economics 03 6 ECEC-102 Statistics for Economists 03 7 ECEC-201 Intermediate Microeconomics 03 8 ECEC-343 Basic Econometrics 03,NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/283
National University of Modern Languages,Islamabad,Main Campus,BS,BS Economics (Bridging),,Eligibility: BA/BSc with 45% marks. Relevancy of courses studied at graduation level is mandatory. Courses: S.No Course Code Subject Credit Hours 1 ECHU-102 English 03 2 ECEC-121 Mathematics 03 3 ECCS-101 Computer 03 4 ECMG-261 Management Skills 03 5 ECEC-101 Principles of Economics 03 6 ECEC-102 Statistics for Economists 03 7 ECEC-201 Intermediate Microeconomics 03 8 ECEC-343 Basic Econometrics 0,NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/332
National University of Modern Languages,Islamabad,Main Campus,BS,BS Psychology,,"Eligibility: Intermediate with 45% marks OR A – Level with 50% marks OR Equivalent. National University of Modern Languages H-9/4 Islamabad ,Pakistan Phone: +92-51-9265100 Email: info@numl.edu.pk Regional Campuses Lahore Campus Faisalabad Campus Multan Campus Hyderabad Campus Quetta Campus Peshawar Campus Karachi Campus Rawalpindi MirpurAJK Campus 2026 © National University of Modern Languages, Is",NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/264
National University of Modern Languages,Islamabad,Main Campus,BS,BS Psychology (Bridging),,"Eligibility: Bachelor’s Degree with 45% marks. Candidates having studied the relevant subject at BA / BSc level will be preferred. After clearing bridging semester, students will join BS 5th semester BS PSYCHOLOGY (Bridging Semester) Semester/Year Name of Subject/Course Title Course Codes Credit Hrs Psychology-I APBS-01 (3-0) Psychology-II APBS-11 (3-0) Mathematics APMM-104 (3-0) Intro to Computer",NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/337
National University of Modern Languages,Islamabad,Main Campus,BS,Associate Degree In Psychology,,"Eligibility: Intermediate with 45% marks OR A – Level with 50% marks OR Equivalent. National University of Modern Languages H-9/4 Islamabad ,Pakistan Phone: +92-51-9265100 Email: info@numl.edu.pk Regional Campuses Lahore Campus Faisalabad Campus Multan Campus Hyderabad Campus Quetta Campus Peshawar Campus Karachi Campus Rawalpindi MirpurAJK Campus 2026 © National University of Modern Languages, Is",NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/541
National University of Modern Languages,Islamabad,Main Campus,BS,BS Languages And Translation Studies,,"Eligibility: Intermediate with at least 2nd Division or equivalent (twelve years of education) on merit. National University of Modern Languages H-9/4 Islamabad ,Pakistan Phone: +92-51-9265100 Email: info@numl.edu.pk Regional Campuses Lahore Campus Faisalabad Campus Multan Campus Hyderabad Campus Quetta Campus Peshawar Campus Karachi Campus Rawalpindi MirpurAJK Campus 2026 © National University of",NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/285
National University of Modern Languages,Islamabad,Main Campus,BS,BS English,,Eligibility: Intermediate with 2nd Div OR A–Level with 50% marks OR Equivalent. SCHEME OF STUDIES 1st Semester Course Code Course Name Credit Hours ENBE 111 Basic English Language Skills 3 ENES 112 Introduction to Environmental Studies 3 ENAC 121 Introduction to History 3 ENGC 113 Human Rights and Citizenship 2 ENGC 114 Introduction to Mathematics 3 Total 14 2nd Semester Course Code Course Name Cr,NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/286
National University of Modern Languages,Islamabad,Main Campus,BS,Associate Degree In English,,"Eligibility: Intermediate with 45% marks OR A – Level with 50% marks OR Equivalent. National University of Modern Languages H-9/4 Islamabad ,Pakistan Phone: +92-51-9265100 Email: info@numl.edu.pk Regional Campuses Lahore Campus Faisalabad Campus Multan Campus Hyderabad Campus Quetta Campus Peshawar Campus Karachi Campus Rawalpindi MirpurAJK Campus 2026 © National University of Modern Languages, Is",NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/534
National University of Modern Languages,Islamabad,Main Campus,BS,BS Software Engineering,,"Eligibility: Intermediate with any one of the following combinations with 50% marks: (1) Maths, Physics & Chemistry (2) Maths, Physics & Computer Science (3) Maths, Stats & Computer Science (4) Maths, Stats & Physics (5) Maths, Stats & Economics (6) Maths, Computer & Economics (7) Physics, Chemistry & Biology. OR Diploma in Associate Engineering Examination with at least 60% aggregate marks in the",NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/238
National University of Modern Languages,Islamabad,Main Campus,BS,BS Information Technology,,"Eligibility: Intermediate with any one of the following combinations with 50% marks: (1) Maths, Physics and Chemistry (2) Maths, Physics and Computer Science (3) Maths, Stats and Computer Science (4) Maths, Stats and Physics (5) Maths, Stats and Economics (6) Maths, Computer Science and Economics (7) Physics, Chemistry and Biology (Pre-Medical) OR Diploma of Associate Engineering with at least 60%",NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/351
National University of Modern Languages,Islamabad,Main Campus,BS,BS Data Science,,"Eligibility: 50% marks in Intermediate with Mathematics, ICS / A level or equivalent with Mathematics. Pre-medical background students will have to pass deficiency courses of Mathematics (06 credits) in first two semesters. National University of Modern Languages H-9/4 Islamabad ,Pakistan Phone: +92-51-9265100 Email: info@numl.edu.pk Regional Campuses Lahore Campus Faisalabad Campus Multan Campus ",NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/536
National University of Modern Languages,Islamabad,Main Campus,BS,BS Commerce,2 Year,Eligibility: Intermediate (12 Years) With Minimum 45% marks /A-Level with Minimum 50% marks Courses: S.No Course Code Subject Credit Hours 1 HUM-101 Functional English 3 2 MGT-101 Introduction to Buisiness 3 3 ACC-121 Fundamentals of Accounting 3 4 ITM-121 Introduction to IT 3 5 MTS-101 Business Mathematics 3 6 HUM-121 Pakistan Studies 2 7 HUM-122 Islamic Studies 2 8 ECO-121 Microeconomics 3 9 ACC,NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/441
National University of Modern Languages,Islamabad,Main Campus,BS,BS Accounting & Finance,2 Year,Eligibility: Intermediate (12 Years) With Minimum 45% marks /A-Level with Minimum 50% marks Courses: S.No Course Code Subject Credit Hours 1 HUM-102 B Business Communication & Professional Speech 3 2 ACC-141 Financial Accounting 3 3 MKT-221 Principles of Marketing 3 4 FIN-121 Intro. to Business Finance 3 5 MTS-102 Statistics and Probability 3 6 ECO-101 Macro Economics 3 7 HUM-102 Business Communic,NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/442
National University of Modern Languages,Islamabad,Main Campus,BS,Associate Degree In Commerce,2 Year,"Eligibility: Intermediate (12 Years) With Minimum 45% marks / A-Level with Minimum 50% marks. National University of Modern Languages H-9/4 Islamabad ,Pakistan Phone: +92-51-9265100 Email: info@numl.edu.pk Regional Campuses Lahore Campus Faisalabad Campus Multan Campus Hyderabad Campus Quetta Campus Peshawar Campus Karachi Campus Rawalpindi MirpurAJK Campus 2026 © National University of Modern Lan",NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/511
National University of Modern Languages,Islamabad,Main Campus,MS,M.Phil Education,1.5 Year,"Eligibility: a. Master degree (16 years of education) in relevant discipline from HEC recognized University with minimum 2.5 out of 4.0 CGPA or Grade ‘B’ under semester system or 50 % marks under annual system. b. Selection in the respective program will be subject to availability of seats, merit-based on academic qualification, valid GRE International / NTS / NUML devised GAT- General Score. c. Applicants with valid GRE International/GAT-General from NTS will have to pass written/subjective por",NUML Graduate Entry Test / Merit Based,90000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/254
National University of Modern Languages,Islamabad,Main Campus,MS,M. Phil.-International Relations,,Eligibility: a. 16 years of education in relevant discipline from HEC recognized university with following score: - i. Semester system: 2.50/4.00 CGPA or grade “B”. ii. Annual System: 50% marks (45% for English and Urdu) b. GAT-General with a minimum cumulative score as determined by HEC. c. Passing of entrance test /interview conducted by the university. Courses: S.No Course Code Subject Credit Hours 1 IRFA-768 Foreign Policy Analysis 03 2 IRTH-701 Theories of International Relations 03 3 IRIP-,NUML Graduate Entry Test / Merit Based,90000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/208
National University of Modern Languages,Islamabad,Main Campus,MS,MPhil Media & Communication Studies,,"Eligibility: Master / BS degree (16 years of education) in relevant discipline from HEC recognized University with minimum 2.5 out of 4.0 CGPA  or Grade ‘B’ under semester system or 50 % marks under annual system (45% marks under annual system for Urdu / English programs only). Selection in the respective program will be subject to availability of seats, merit based on academic qualification, valid GRE International / NTS / NUML devised GAT- General Score. Applicants with valid GRE International",NUML Graduate Entry Test / Merit Based,90000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/434
National University of Modern Languages,Islamabad,Main Campus,MS,M.Phil,,"Eligibility: Master / BS degree (16 years of education) in relevant discipline from HEC recognized University with minimum 2.5 out of 4.0 CGPA or Grade ‘B’ under semester system or 50 % marks under annual system (45% marks under annual system for Urdu / English programs only). Selection in the respective program will be subject to availability of seats, merit based on academic qualification, valid GRE International / NTS / NUML devised GAT- General Score. Applicants with valid GRE International/",NUML Graduate Entry Test / Merit Based,90000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/236
National University of Modern Languages,Islamabad,Main Campus,MS,M Phil Islamic Studies,,"Eligibility: Master / BS degree (16 years of education) in relevant discipline from HEC recognized University with minimum 2.5 out of 4.0 CGPA or Grade ‘B’ under semester system or 50 % marks under annual system (45% marks under annual system for Urdu / English programs only). Selection in the respective program will be subject to availability of seats, merit based on academic qualification, valid GRE International / NTS / NUML devised GAT- General Score. Applicants with valid GRE International/",NUML Graduate Entry Test / Merit Based,90000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/204
National University of Modern Languages,Islamabad,Main Campus,MS,MS Computer Science (MS-CS),,"Eligibility: Master / BS degree (16 years of education) in relevant discipline from HEC recognized University with minimum 2.5 out of 4.0 CGPA or Grade ‘B’ under semester system or 50 % marks under annual system (45% marks under annual system for Urdu / English programs only). Selection in the respective program will be subject to availability of seats, merit based on academic qualification, valid GRE International / NTS / NUML devised GAT- General Score. Applicants with valid GRE International/",NUML Graduate Entry Test / Merit Based,90000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/59
National University of Modern Languages,Islamabad,Main Campus,MS,MS (Artificial Intelligence),2 Year,"Eligibility: BS(AI, CS, SE, IT) 4 Years Degree -16 Years Education, OR    MCS/MIT 2 Years Degree -16 Years Education, And 50% Marks in Annual System or 65% Marks/2.5 CGPA in Semester System and NTS General Test with at least 50% Marks or NUML General Test with at least 60% Marks And Interview . Scheme of Study: National University of Modern Languages H-9/4 Islamabad ,Pakistan Phone: +92-51-9265100 Email: info@numl.edu.pk Regional Campuses Lahore Campus Faisalabad Campus Multan Campus Hyderabad C",NUML Graduate Entry Test / Merit Based,90000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/458
National University of Modern Languages,Islamabad,Main Campus,MS,MS (Cyber Security),2 Year,"Eligibility: BS(Cyber Security, CS, SE, IT) 4 Years Degree -16 Years Education, OR    MCS/MIT 2 Years Degree -16 Years Education, And 50% Marks in AnnualSystem or 65% Marks/2.5 CGPA in Semester System and NTS General Test with at least 50% Marks or NUML General Test with at least 60% Marks And Interview Scheme of Study: National University of Modern Languages H-9/4 Islamabad ,Pakistan Phone: +92-51-9265100 Email: info@numl.edu.pk Regional Campuses Lahore Campus Faisalabad Campus Multan Campus Hy",NUML Graduate Entry Test / Merit Based,90000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/459
National University of Modern Languages,Islamabad,Main Campus,MS,MS  Electrical Engineering,,"Eligibility: Master / BS degree (16 years of education) in relevant discipline from HEC recognized University with minimum 2.5 out of 4.0 CGPA (PEC registration is also mandatory) or Grade ‘B’ under semester system or 50 % marks under annual system (45% marks under annual system for Urdu / English programs only). Selection in the respective program will be subject to availability of seats, merit based on academic qualification, valid GRE International / NTS / NUML devised GAT- General Score. App",NUML Graduate Entry Test / Merit Based,90000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/232
National University of Modern Languages,Islamabad,Main Campus,MS,M.Phil Urdu,,"Eligibility: Master / BS degree (16 years of education) in relevant discipline from HEC recognized University with minimum 2.5 out of 4.0 CGPA  or Grade ‘B’ under semester system or 50 % marks under annual system (45% marks under annual system for Urdu / English programs only). Selection in the respective program will be subject to availability of seats, merit based on academic qualification, valid GRE International / NTS / NUML devised GAT- General Score. Applicants with valid GRE International",NUML Graduate Entry Test / Merit Based,90000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/119
National University of Modern Languages,Islamabad,Main Campus,MS,M.Phil Chinese,,"Eligibility: Master / BS degree (16 years of education) in relevant discipline from HEC recognized University with minimum 2.5 out of 4.0 CGPA (2.0 out of 4.0 CGPA for MS EE only, PEC registration is also mandatory) or Grade ‘B’ under semester system or 50 % marks under annual system (45% marks under annual system for Urdu / English programs only). Selection in the respective program will be subject to availability of seats, merit based on academic qualification, valid GRE International / NTS / ",NUML Graduate Entry Test / Merit Based,90000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/288
National University of Modern Languages,Islamabad,Main Campus,MS,MPhil Persian,,"Eligibility: Master / BS degree (16 years of education) in relevant discipline from HEC recognized University with minimum 2.5 out of 4.0 CGPA or Grade ‘B’ under semester system or 50 % marks under annual system (45% marks under annual system for Urdu / English programs only). Selection in the respective program will be subject to availability of seats, merit based on academic qualification, valid GRE International / NTS / NUML devised GAT- General Score. Applicants with valid GRE International/",NUML Graduate Entry Test / Merit Based,90000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/287
National University of Modern Languages,Islamabad,Main Campus,MS,M.Phil,,"Eligibility: Master / BS degree (16 years of education) in relevant discipline from HEC recognized University with minimum 2.5 out of 4.0 CGPA or Grade ‘B’ under semester system or 50 % marks under annual system (45% marks under annual system for Urdu / English programs only). Selection in the respective program will be subject to availability of seats, merit based on academic qualification, valid GRE International / NTS / NUML devised GAT- General Score. Applicants with valid GRE International/",NUML Graduate Entry Test / Merit Based,90000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/246
National University of Modern Languages,Islamabad,Main Campus,MS,MPhil In Hindi Language,,"Eligibility: Master / BS degree (16 years of education) in relevant discipline from HEC recognized University with minimum 2.5 out of 4.0 CGPA  or Grade ‘B’ under semester system or 50 % marks under annual system (45% marks under annual system for Urdu / English programs only). Selection in the respective program will be subject to availability of seats, merit based on academic qualification, valid GRE International / NTS / NUML devised GAT- General Score. Applicants with valid GRE International",NUML Graduate Entry Test / Merit Based,90000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/145
National University of Modern Languages,Islamabad,Main Campus,MS,M.Phil Arabic,,"Eligibility: a. Master degree (16 years of education) in relevant discipline from HEC recognized University with minimum 2.5 out of 4.0 CGPA or Grade ‘B’ under semester system or 50 % marks under annual system. b. Selection in the respective program will be subject to availability of seats, merit based on academic qualification, valid GRE International / NTS / NUML devised GAT- General Score. c. Applicants with valid GRE International/GAT-General from NTS will have to pass written/subjective por",NUML Graduate Entry Test / Merit Based,90000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/183
National University of Modern Languages,Islamabad,Main Campus,MS,MPhil French,,"Eligibility: Master / BS degree (16 years of education) in relevant discipline from HEC recognized University with minimum 2.5 out of 4.0 CGPA or Grade ‘B’ under semester system or 50 % marks under annual system (45% marks under annual system for Urdu / English programs only). Selection in the respective program will be subject to availability of seats, merit based on academic qualification, valid GRE International / NTS / NUML devised GAT- General Score. Applicants with valid GRE International/",NUML Graduate Entry Test / Merit Based,90000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/69
National University of Modern Languages,Islamabad,Main Campus,MS,MS Mathematics,,"Eligibility: Master / BS degree (16 years of education) in relevant discipline from HEC recognized University with minimum 2.5 out of 4.0 CGPA or Grade ‘B’ under semester system or 50 % marks under annual system (45% marks under annual system for Urdu / English programs only). Selection in the respective program will be subject to availability of seats, merit based on academic qualification, valid GRE International / NTS / NUML devised GAT- General Score. Applicants with valid GRE International/",NUML Graduate Entry Test / Merit Based,90000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/251
National University of Modern Languages,Islamabad,Main Campus,MS,MBA Executive,,"Eligibility: BSCS (4 years), BE (4 years), MBBS, MA, MSc or Equivalent qualification with CGPA 2.0/4 under semester system or 45% marks under annual System with three years job experience All HEC conditions apply National University of Modern Languages H-9/4 Islamabad ,Pakistan Phone: +92-51-9265100 Email: info@numl.edu.pk Regional Campuses Lahore Campus Faisalabad Campus Multan Campus Hyderabad Campus Quetta Campus Peshawar Campus Karachi Campus Rawalpindi MirpurAJK Campus 2026 © National Unive",NUML Graduate Entry Test / Merit Based,90000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/86
National University of Modern Languages,Islamabad,Main Campus,MS,"MS Management Sciences (Marketing, Finance, HR, Supply Chain)",2 Year,"Eligibility: Master / BS degree (16 years of education) in relevant discipline from HEC recognized University with minimum 2.5 out of 4.0 CGPA or Grade ‘B’ under semester system or 50 % marks under annual system (45% marks under annual system for Urdu / English programs only). Selection in the respective program will be subject to availability of seats, merit based on academic qualification, valid GRE International / NTS / NUML devised GAT- General Score. Applicants with valid GRE International/",NUML Graduate Entry Test / Merit Based,90000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/89
National University of Modern Languages,Islamabad,Main Campus,MS,MBA  (with Business Education),,"Eligibility: MBA (with Business Education) - 3 Semesters : BBA (4 Years) BS A & F (4 Years) B.Com (4 Years), Old MBA / MPA, M.Com, ACMA, ACA, or Equivalent with CGPA 2.0/4 OR 45% marks under annual system. National University of Modern Languages H-9/4 Islamabad ,Pakistan Phone: +92-51-9265100 Email: info@numl.edu.pk Regional Campuses Lahore Campus Faisalabad Campus Multan Campus Hyderabad Campus Quetta Campus Peshawar Campus Karachi Campus Rawalpindi MirpurAJK Campus 2026 © National University o",NUML Graduate Entry Test / Merit Based,90000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/273
National University of Modern Languages,Islamabad,Main Campus,MS,MBA (with Non-Business Education),,"Eligibility: BSCS (4 years), BE(4 years), MBBS, MA, MSc or Equivalent qualification with CGPA 2.0/4 under semester system or 45% marks under annual System All HEC conditions apply National University of Modern Languages H-9/4 Islamabad ,Pakistan Phone: +92-51-9265100 Email: info@numl.edu.pk Regional Campuses Lahore Campus Faisalabad Campus Multan Campus Hyderabad Campus Quetta Campus Peshawar Campus Karachi Campus Rawalpindi MirpurAJK Campus 2026 © National University of Modern Languages, Islama",NUML Graduate Entry Test / Merit Based,90000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/274
National University of Modern Languages,Islamabad,Main Campus,MS,MPhil Governance & Public Policy,,"Eligibility: Master / BS degree (16 years of education) in relevant discipline from HEC recognized University with minimum 2.5 out of 4.0 CGPA or Grade ‘B’ under semester system or 50 % marks under annual system (45% marks under annual system for Urdu / English programs only). Selection in the respective program will be subject to availability of seats, merit based on academic qualification, valid GRE International / NTS / NUML devised GAT- General Score. Applicants with valid GRE International/",NUML Graduate Entry Test / Merit Based,90000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/167
National University of Modern Languages,Islamabad,Main Campus,MS,MPhil Economics,,"Eligibility: Master / BS degree (16 years of education) in relevant discipline from HEC recognized University with minimum 2.5 out of 4.0 CGPA or Grade ‘B’ under semester system or 50 % marks under annual system (45% marks under annual system for Urdu / English programs only). Selection in the respective program will be subject to availability of seats, merit based on academic qualification, valid GRE International / NTS / NUML devised GAT- General Score. Applicants with valid GRE International/",NUML Graduate Entry Test / Merit Based,90000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/73
National University of Modern Languages,Islamabad,Main Campus,MS,MS Development Studies In Economics,,"Eligibility: MS/MPhil Programs : Master / BS degree (16 years of education) in relevant discipline from HEC recognized University with minimum 2.5 out of 4.0 CGPA or Grade ‘B’ under semester system or 50 % marks under annual system (45% marks under annual system for Urdu / English programs only). Selection in the respective program will be subject to availability of seats, merit based on academic qualification, valid GRE International / NTS / NUML devised GAT- General Score. Applicants with vali",NUML Graduate Entry Test / Merit Based,90000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/514
National University of Modern Languages,Islamabad,Main Campus,MS,MPhil Psychology,,"Eligibility: Master / BS degree (16 years of education) in relevant discipline from HEC recognized University with minimum 2.5 out of 4.0 CGPA or Grade ‘B’ under semester system or 50 % marks under annual system (45% marks under annual system for Urdu / English programs only). Selection in the respective program will be subject to availability of seats, merit based on academic qualification, valid GRE International / NTS / NUML devised GAT- General Score. Applicants with valid GRE International/",NUML Graduate Entry Test / Merit Based,90000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/267
National University of Modern Languages,Islamabad,Main Campus,MS,Masters In Data Science - MS(DS),2 Year,"Eligibility: Master / BS degree (16 years of education) in following domains (Information Technology, Software Engineering, Data Science, Artificial Intelligence, Computer Engineering, Electrical Engineering, Statistics or Mathematics, Computer Science or any computing related discipline) are eligible to apply from HEC recognized University with minimum 2.5 out of 4.0 CGPA or Grade ‘B’ under semester system or 50 % marks under annual system (45% marks under annual system for Urdu / English progr",NUML Graduate Entry Test / Merit Based,90000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/438
National University of Modern Languages,Islamabad,Main Campus,MS,Master In Software Engineering,,"Eligibility: Master / BS degree (16 years of education) in relevant discipline from HEC recognized University with minimum 2.5 out of 4.0 CGPA or Grade ‘B’ under semester system or 50 % marks under annual system (45% marks under annual system for Urdu / English programs only). Selection in the respective program will be subject to availability of seats, merit based on academic qualification, valid GRE International / NTS / NUML devised GAT- General Score. Applicants with valid GRE International/",NUML Graduate Entry Test / Merit Based,90000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/239
National University of Modern Languages,Islamabad,Main Campus,MS,MS Banking & Finance,,"Eligibility: As per HEC criteria National University of Modern Languages H-9/4 Islamabad ,Pakistan Phone: +92-51-9265100 Email: info@numl.edu.pk Regional Campuses Lahore Campus Faisalabad Campus Multan Campus Hyderabad Campus Quetta Campus Peshawar Campus Karachi Campus Rawalpindi MirpurAJK Campus 2026 © National University of Modern Languages, Islamabad. Privacy Policy Admission LMS Student Portal Library Journals E-Registration Online QEC Results Datesheets Scholarships Feedback",NUML Graduate Entry Test / Merit Based,90000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/504
National University of Modern Languages,Islamabad,Main Campus,PhD,PhD Education,3–5 Years,"Eligibility: a. MS/MPhil Degree (18 years of education with 6 credit hrs. research) in relevant discipline from HEC recognized University with minimum 3.0 out of 4.0 CGPA under semester system OR 1st Division under annual system. b. Selection in the respective program will be subject to availability of seats, merit based on academic qualification, valid GRE International / NTS / NUML devised GAT- subject score and interview. c. Applicants with valid GRE International/GAT-Subject from NTS will have to pass written/subjective portion of NUML GAT-S (as per schedule of respective Faculties) to sec",NUML PhD Admission Test / Interview,110000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/253
